Local time,Open,High,Low,Close,Volume
28.07.2019 01:30:00.000 GMT+0430,1417.948,1417.948,1417.948,1417.948,0
29.07.2019 01:30:00.000 GMT+0430,1418.775,1428.078,1414.718,1426.498,28514086.961700004
30.07.2019 01:30:00.000 GMT+0430,1426.485,1433.165,1422.258,1430.488,30133380.0851
31.07.2019 01:30:00.000 GMT+0430,1431.008,1434.258,1410.385,1412.578,35123042.017
01.08.2019 01:30:00.000 GMT+0430,1412.815,1445.948,1400.418,1444.528,51106374.7407
02.08.2019 01:30:00.000 GMT+0430,1444.795,1449.025,1430.225,1440.568,70816199.6305
03.08.2019 01:30:00.000 GMT+0430,1440.568,1440.568,1440.568,1440.568,0
04.08.2019 01:30:00.000 GMT+0430,1440.568,1440.568,1440.568,1440.568,0
05.08.2019 01:30:00.000 GMT+0430,1439.898,1469.688,1436.648,1463.698,75231529.6529
06.08.2019 01:30:00.000 GMT+0430,1468.188,1474.815,1456.315,1473.775,62539050.99630001
07.08.2019 01:30:00.000 GMT+0430,1474.185,1510.278,1472.208,1501.188,72381871.2235
08.08.2019 01:30:00.000 GMT+0430,1500.275,1509.475,1489.948,1500.778,49315909.8922
09.08.2019 01:30:00.000 GMT+0430,1504.578,1508.948,1494.698,1496.948,44702134.19219999
10.08.2019 01:30:00.000 GMT+0430,1496.948,1496.948,1496.948,1496.948,0
11.08.2019 01:30:00.000 GMT+0430,1496.948,1496.948,1496.948,1496.948,0
12.08.2019 01:30:00.000 GMT+0430,1497.515,1520.008,1487.258,1510.528,37137676.5073
13.08.2019 01:30:00.000 GMT+0430,1510.775,1534.948,1479.715,1500.928,51352798.938800015
14.08.2019 01:30:00.000 GMT+0430,1501.835,1523.968,1494.085,1516.068,65139205.24719999
15.08.2019 01:30:00.000 GMT+0430,1516.435,1526.948,1507.848,1522.840,55766464.1738
16.08.2019 01:30:00.000 GMT+0430,1523.385,1527.945,1503.635,1512.395,40161436.76640001
17.08.2019 01:30:00.000 GMT+0430,1512.395,1512.395,1512.395,1512.395,0
18.08.2019 01:30:00.000 GMT+0430,1512.395,1512.395,1512.395,1512.395,0
19.08.2019 01:30:00.000 GMT+0430,1512.398,1512.928,1493.175,1495.498,35772285.074
20.08.2019 01:30:00.000 GMT+0430,1495.838,1508.508,1492.848,1506.898,36319304.8537
21.08.2019 01:30:00.000 GMT+0430,1507.548,1508.028,1496.445,1502.298,37058135.122200005
22.08.2019 01:30:00.000 GMT+0430,1502.288,1504.518,1492.425,1497.898,36609504.997499995
23.08.2019 01:30:00.000 GMT+0430,1498.268,1530.188,1493.475,1526.598,59297197.40180001
24.08.2019 01:30:00.000 GMT+0430,1526.598,1526.598,1526.598,1526.598,0
25.08.2019 01:30:00.000 GMT+0430,1526.598,1526.598,1526.598,1526.598,0
26.08.2019 01:30:00.000 GMT+0430,1535.278,1555.048,1524.955,1527.198,75850872.934
27.08.2019 01:30:00.000 GMT+0430,1527.095,1544.608,1525.538,1542.278,49564885.28850001
28.08.2019 01:30:00.000 GMT+0430,1541.988,1546.805,1531.848,1538.798,58571564.912599996
29.08.2019 01:30:00.000 GMT+0430,1539.208,1550.315,1519.608,1527.065,66471300.57219999
30.08.2019 01:30:00.000 GMT+0430,1527.708,1533.055,1517.000,1519.998,66487479.0309
31.08.2019 01:30:00.000 GMT+0430,1519.998,1519.998,1519.998,1519.998,0
01.09.2019 01:30:00.000 GMT+0430,1519.998,1519.998,1519.998,1519.998,0
02.09.2019 01:30:00.000 GMT+0430,1528.325,1533.948,1519.305,1528.698,26426281.937399995
03.09.2019 01:30:00.000 GMT+0430,1529.515,1549.655,1521.455,1546.698,61444279.49210001
04.09.2019 01:30:00.000 GMT+0430,1546.845,1556.958,1533.825,1551.798,73071293.0558
05.09.2019 01:30:00.000 GMT+0430,1551.918,1552.918,1506.115,1518.698,67445564.9851
06.09.2019 01:30:00.000 GMT+0430,1517.218,1527.798,1502.488,1506.398,84783228.27810001
07.09.2019 01:30:00.000 GMT+0430,1506.398,1506.398,1506.398,1506.398,0
08.09.2019 01:30:00.000 GMT+0430,1506.398,1506.398,1506.398,1506.398,0
09.09.2019 01:30:00.000 GMT+0430,1507.968,1515.415,1497.548,1498.498,54514586.8955
10.09.2019 01:30:00.000 GMT+0430,1498.688,1500.948,1484.418,1485.398,52091670.2149
11.09.2019 01:30:00.000 GMT+0430,1485.618,1498.188,1484.998,1496.798,51078789.9792
12.09.2019 01:30:00.000 GMT+0430,1496.548,1524.118,1489.208,1498.708,59959127.485800005
13.09.2019 01:30:00.000 GMT+0430,1498.708,1508.938,1485.735,1488.500,56598804.473799996
